"education","contact","cpi","cci","r3m","previous_bin","jobblue_collar","jobentrepreneur","jobhousemaid","jobmanagement","jobretired","jobself_employed","jobservices","jobstudent","jobtechnician","jobunemployed","jobunknown","maritalmarried","maritalsingle","maritalunknown","defaultunknown","defaultyes","monthaug","monthdec","monthjul","monthjun","monthmar","monthmay","monthnov","monthoct","monthsep","poutcomenonexistent","poutcomesuccess","campaign_bin1","campaign_bin2","age_bin1","age_bin2","age_bin3","age_bin4","duration_bin1","duration_bin2","duration_bin3","duration_bin4","all_previous_bin1","all_previous_bin2","all_previous_bin3","y"
5,0,0.615549075538839,-0.439810438518002,1.0142574007545,-1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"0"
2.53782290380149,0,0.546382296934259,0.122861118468022,-1.25206664875422,0,0.537822903801492,0,0,0,0.462177096198508,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,"1"
5,0,-0.28855953050671,1.20652485784851,-1.28230024281664,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,"1"
6,0,0.615549075538839,-0.439810438518002,1.01691299469942,-1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"0"
3,1,0.615549075538839,-0.439810438518002,1.01319516317653,-1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"0"
7,0,-0.566873472987025,-0.293932627447551,0.513943501530626,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,"0"
2,0.947151028087226,-1.47427573515659,2.18599016075011,-1.2424382645608,-0.947151028087226,0,0,0,0,1,0,0,0,0,0,0,0.947151028087226,0.0528489719127737,0,0,0,0,0,0,0,0,0,1,0,0,0.947151028087226,0.0528489719127737,0.0528489719127737,0,0,0,0,1,0,0.0528489719127737,0,0.947151028087226,0,0.0528489719127737,0,"1"
4,0,0.615549075538839,-0.439810438518002,1.01691299469942,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"0"
7,0,-0.566873472987025,-0.293932627447551,0.566524261640141,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,"0"
5,0,-0.772726980738741,-1.35675667953226,-0.896708002013531,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"1"
3,0,-0.566873472987025,-0.293932627447551,0.566524261640141,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,"0"
3,1,0.740708008251871,0.873089861116055,0.9574276903331,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"0"
4.48295724425817,0,0.615549075538839,-0.439810438518002,1.01262783747638,-1,0,0,0,0,0,0,0,0,1,0,0,0.517042755741834,0.482957244258166,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.517042755741834,0,0,0,0,0,0,0,0,1,0,0.517042755741834,0,"1"
6,1,0.740708008251871,0.873089861116055,0.96167664064498,-1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,"0"
7,0,-0.566873472987025,-0.293932627447551,0.604233695658076,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"0"
5,0,0.795053334298326,0.47713580249626,-1.14420935768054,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,"1"
7,0,-0.165047425855675,0.93560892300339,1.01531963833247,-1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,"0"
6.97850678710486,0,-2.21205470693876,1.91507422590499,-1.15826958607664,-0.0214932128951391,0,0,0,0,0,0,0,0,0.0214932128951391,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.0214932128951391,0.978506787104861,0,0,0,0,0,0,0,0.978506787104861,0,0,0,1,0,"1"
4,0,-1.07244968802524,-1.16919949387026,-0.931761842086541,-1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,"0"
7,0,1.07830776096468,0.643853300862489,-1.15536285224923,0,0,0,0,0,0,0,0,0,0.251606859344576,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.748393140655424,0,0,0,0,0.748393140655424,0,1,0,0,0.251606859344576,0.748393140655424,0,"1"
0.99006127471401,0,-1.84683151230884,2.04918591380154,-1.20599658686134,-1,0,0,0.495030637357005,0,0.504969362642995,0,0,0,0,0,0,1,0,0,0,0,0.504969362642995,0,0,0,0,0,0.495030637357005,0,0,1,0,0.504969362642995,0,0,0,0,1,0,1,0,0,0.495030637357005,0.504969362642995,0,"1"
7,1,0.740708008251871,0.873089861116055,0.957958809122086,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"0"
5,0,-0.566873472987025,-0.293932627447551,0.584051181676646,-1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,"0"
7,0,0.795053334298326,0.47713580249626,-1.14155376373562,-1,0,0.0500194894624999,0,0,0,0,0,0,0,0,0,0.0500194894624999,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0500194894624999,0.9499805105375,0,0,0.0500194894624999,0.9499805105375,0,0,0,0,"1"
